GLOBAL_FILE_ID,LOAD_TERMS,CONTAINER_ID,VESSEL,VOYAGE,QUANTITY,TEU
2d344bb13b43bc2647c16c6f5a672896,FCL,db3ed5c66c58e681b7d564e04c5e8f50,OTTAWA EXPRESS,21W10,6 X 40HC,12.0
2d344bb13b43bc2647c16c6f5a672896,FCL,1d30e5350982233b2cd31545d1ec3fee,OTTAWA EXPRESS,21W10,6 X 40HC,12.0
2d344bb13b43bc2647c16c6f5a672896,FCL,1423886f35b5f2ed84a021379e481fed,OTTAWA EXPRESS,21W10,6 X 40HC,12.0
1801b40ae246a163672faedac0108f96,FCL,3e09a02e5198f0d89fbadcdb2e484dda,MSC ARCHIMIDIS,0NNDBE1MA,2 X 40,4.0
0f12812f2dd1f76f738397f6a03a98b0,FCL,06f79ac3a028bb59faa06b6ca0025d8b,,,3 X 45HC,6.0
3ca49a5265e892c5541ecc0c4a312b76,FCL,50862c60bd76ba0f15cff9abea5ae89b,TAIPEI TRIUMPH,V-1132-022E,3 X 40HC,6.0
e14eac539004394d61607f157d613977,FCL,6975f2849c736ac9c2fa93909083660b,COSCO EXCELLENCE,061E,5 X 40HC,10.0
e14eac539004394d61607f157d613977,FCL,08454230554e0fcb17b798c3b70b71d4,COSCO EXCELLENCE,061E,5 X 40HC,10.0
9a27e1de45412a55fd9182fc193e9eb3,FCL,cf30fc842ef1f4381a953450ff5aba70,WAN HAI A07,V.E004,2 X 40HC,4.0
9a27e1de45412a55fd9182fc193e9eb3,FCL,0b037cbb4d893f1216221f521b145dee,WAN HAI A07,V.E004,2 X 40HC,4.0
e98b995ab515a07339a5a3b0c0da2784,FCL,05894f22a2d8eeaeff399bff6f9eb4ed,GUNHILDE MAERSK,V.13E,1 X 40HC,2.0
44f6b90f9dfe070b38f3cf683c79fe84,FCL,15871aadd2e4bbe64d469b1e85484988,MSC CORDELIA III,HB146R,6 X 20,6.0
3dda54194dc38b65a2fe800401b77459,FCL,a91be7eb5c14acd5c312faa78bd4a60d,TOLEDO TRIUMPH,0539-024W,4 X 20TA,4.0
0fc26ec509e97c176a46ab499139e32d,LCL,cfc1be38f294a0589ebc02231d3edc6e,EVER LEADER,0989-057E,,0.0
3ce9c42dc6396dbb4c874f6e335c9f97,FCL,d9169f8978ffe90a50b10bd923e36684,EVER STEADY,0059-091E,3 X 40HC,6.0
23a5658d2ac5ba7db798c2d27a01d749,FCL,61d10a0c3d097892e109c9a1c816f60c,COSCO SHIPPING CAMELLIA,015E,3 X 40,6.0
edf99472289e04429b5171be5183768b,FCL,1525ee828cbd7db432e424fdaebbc7fb,ATHOS,022E,5 X 40,10.0
30c2eb4699c887b2c257736ad56d2ee8,FCL,73461b261f8ef908e5f5c79344fb1608,COSCO KAOHSIUNG,093E,1 X 20,1.0
b37f5e2407514358f34b1551c30e8390,FCL,,,,1 X 20,1.0
f3b540cae7e9251b5645aaa9f49212e5,FCL,15f5725d43d900af3b7a51afb9fbca36,ONE MOTIVATOR,059E,2 X 20,2.0
bfc6b80ef7a78d0f7c7192e0814c6dde,FCL,b51ca70ef6d5d8f68a7d90370f63e9e6,EVER SMILE,V.110E,1 X 20,1.0
a2fd0ac8a27f0da7b9abb34fceeb3373,FCL,6877642a35544e2f456794580b25a105,OOCL CHONGQING,039E,2 X 40,4.0
a2fd0ac8a27f0da7b9abb34fceeb3373,FCL,4763c9878cdf5376a519ee251b74d9a1,OOCL CHONGQING,039E,2 X 40,4.0
c570c6add675216afe2bffb5d54107d4,FCL,5cebc14b7b49a0942f8d7a4f75774cda,MAERSK GUAYAQUIL,150N,2 X 40,4.0
5608e96ae83d832bafece2b0d53db1fb,FCL,5708a0bb093e281b1bd6adef90ab144c,,,5 X 40,10.0
5608e96ae83d832bafece2b0d53db1fb,FCL,a50874f15114da55dbe6eaf49978658b,,,5 X 40,10.0
68ac028c7285a490c23f3cc532523de4,FCL,c29615128c385259d41ce544165f0a54,VELKIA EXPRESS,16/W,4 X 40HC,8.0
8dae67ee43550b692c2be8cdd1271ee7,FCL,11c36bf9ec086d8fff801cf4a3040433,ONE CONTINUITY,058E,1 X 40,2.0
9dae146c06e3bd239bae3fb970493639,FCL,605be4fe0c64d873ad79fcc551b31369,,,5 X 40HC,10.0
f2661c9ad88dfd611edd5e100511029d,LCL,,EVER STEADY,V-0065-092E,,0.0
58aba7c3a0d052f0663a5ef6bfdc0e54,FCL,9cc8dbedd47fe96c39c0ee0c1daa1918,WAN HAI 509,E119,5 X 40,10.0
6aad17594fcf64f9ba118b38c1fee14e,LCL,b587d56073139f4cbc52ee424435d6a4,MSC AQUARIUS,FR207E,3 X 40HC,6.0
86c4c9037950acb45164d3cebfbca197,LCL,bfebc4057a3fad667df3c7d3f7c01e3c,EVER LUNAR,V-0106-056E,,0.0
73bda3311a260e9be9bdbb2b5a244b7b,FCL,5de60765fbbe26a2cf0bff03aabbbbf3,TAIPEI TRIUMPH,V-1132-022E,3 X 40HC,6.0
73bda3311a260e9be9bdbb2b5a244b7b,FCL,a4d1de967e3dba70a6c02a2433b8db00,TAIPEI TRIUMPH,V-1132-022E,3 X 40HC,6.0
13d0a4f1c139f20aaf8f2e4a26ef16bd,LCL,,AS RAFAELA,030N,,0.0
d039fe4adfad810c0bdaf758d809f55c,FCL,,,,2 X 40HC,4.0
f0c3ce26ddbd548cdd02a2156fe92658,FCL,2c9f0575278f22605ba654b0137b83c3,EVER BOOMY,1062-068A,1 X 40HC,2.0
cfe5f3932f1f094cd36e549b7aa7c5b2,FCL,67139e4e57e0012305052896e9724cd4,DAGMAR,210S,1 X 40RF,2.0
a16e879627315745d84cced3945ecae2,LCL,,CAPE CHRONOS,007W,,0.0
5ee4351fc110e5a6d195ff9ec060e856,FCL,cdd6e0fa1ec40a4dfaf3180194422f1e,MSC SAMIRA III,NE234A,2 X 40HC,4.0
471717dedeffa255db398a850b4a145e,BULK,,BLUE BAIE,1,,0.0
38b7bbf8b4fb90101c8f3f0773ecfa61,FCL,1d4498b3b38f0083676ccf7cae456d92,TITAN,02M8HW1MA,2 X 20TA,2.0
fdf258434cca5e49387fb13187ee5011,FCL,c1728546874d72a5739ded502ec1150e,WAN HAI 508,E185,2 X 40,10.0
79b3c0cc51913335d16c44cc12fc73f4,FCL,964277675949df14fe1453144100efa0,OOCL MALAYSIA,031W,2 X 20TA,2.0
d570d7314ad15e695c344aae23b5d763,FCL,b1d3d07aa5449322b52989fcd3a595ae,ALTAMIRA EXPRESS,07W49,2 X 20,2.0
d036cadf173915b2f7d7582e82045c81,FCL,d043274a58de7b4f74d955371ecc55e7,,,2 X 40HC,4.0
5047db21a6b928cb0733f0a6435951da,FCL,2654593d3dbdda001395702cee92a97d,CMA CGM PANAMA,0TUJ3E1MA,3 X 20,3.0
eba34e78a84edd48c208dfdef053967d,LCL,adaa70517bf253dc47e09d154b588b64,COSCO KAOHSIUNG,092E,,0.0
4a15d1b0a3d578a69bdcc3bececa0f5e,FCL,333b7a85caccdc6b5ee547e8c4a6ed1c,BRIGHT LAEM CHABANG,070N,1 X 40HC,2.0
1e71a86c1d72c1ab34ada0e0d3872778,FCL,dcc0dba6e4f4621f85e034ce8c0fc533,GUTHORM MAERSK,V.17E,2 X 40,10.0
35837687d34cd1d70de0e50dae13934a,FCL,f74869401e4cd2c852573663dd7c064a,ONE THESEUS,067E,2 X 40HC,4.0
602ad438a885975619534c2b96bae198,FCL,,MSC LISA,793W26,6 X 40HC,12.0
bdc31354fe7fb7f0dde4833cf1de2c3b,LCL,,MSC MAKOTO II,SC342R.,1 X 40HC,2.0
3708f4e7d1f449e6b1beb7bd08812271,FCL,ff8718c8e00fafb15b20f4cdb51a82a8,MAREN MAERSK,206E,5 X 40HC,10.0
3708f4e7d1f449e6b1beb7bd08812271,FCL,57013de05bd74410bd77dc32f506203e,MAREN MAERSK,206E,5 X 40HC,10.0
3708f4e7d1f449e6b1beb7bd08812271,FCL,f521137d0f6b008a428e10f6f1b9901f,MAREN MAERSK,206E,5 X 40HC,10.0
af9ee78126b07b68072238c83684ab9d,FCL,83a68dd3a915be8f4ea10baceaeffa3e,AL RIFFA,021W,1 X 40OT,2.0
d8bb9ae31533dd5e5319c3dcd3170b66,LCL,,ARISTOMENIS,016E,,0.0
28da1562a6c4d7edcd29b1e8e27c9620,FCL,70987899c3a68cae8f5925c85c9f0b7b,YM UNANIMITY,V.055E,1 X 40,2.0
81b1013598ee91842383ebfd456f91ab,FCL,24a8f8b5d2cc4dfba34a37cf68ff0140,GH FOEHN,E014,1 X 45HC,8.25
d39d36be46926e898316f94bf80f6640,LCL,a016d14efb87ac7b1b046f1858f29561,CSCL BOHAI SEA,058N,,0.0
0e1237eafbeca7a5115848758a3d4298,FCL,60874d015b02cdd6709d21a404fa99ca,OOCL GUANGZHOU,157W,5 X 40HC,10.0
34d838a32846033126eae275a09dd2c0,FCL,64f61c2a377462235912006e178d3648,REN JIAN 26,V.2203E,4 X 40HC,8.0
34d838a32846033126eae275a09dd2c0,FCL,fa267fdac04956d71acfcde23a0238f9,REN JIAN 26,V.2203E,4 X 40HC,8.0
f0e15dca11fb297bea0739e7a6aa6bcd,FCL,,,,5 X 40HC,10.0
e2ce422d87e3d07e231a70219c50d592,FCL,,ITAL BONNY,0DMDDS1MA,1 X 40HC,0.0
488f86b983964abb7d4a55d6904dd83f,FCL,9a81ccf31bf3d28b76f30382d6ac4660,MSC LISBON,IU220A,1 X 40HC,2.0
2d560af8b21d9e0d8ba0a957c1570167,LCL,9c556065fe12f4fd9d63a0e290894dcc,SALAHUDDIN,V.025W,1 X 40HC,0.0
cb9c60c13e4cbece124d192e7d24a5cc,CONS,1067fcf1198f9d60ee3c8ad6392f9961,LLOYD DON PASCUALE,019N,,0.0
dc9c7b9052d04c6532775c05b54fdaa7,FCL,72423df7ce58b404ba7ebb79ee715001,ANNA MAERSK,105N,2 X 20,2.0
dc9c7b9052d04c6532775c05b54fdaa7,FCL,ad6114c35986cd675e1bcedbcd128ccf,ANNA MAERSK,105N,2 X 20,2.0
23168368be2d361c9ba4690ab792beef,FCL,da1167bb245366b45d3b9cee9cf65a30,MSC JENNY II,AI330,2 X 40HC,4.0
